,Tijd,Aantal
0,2021-11-23 10:00:00,2
1,2021-11-23 06:00:00,1
2,2021-11-23 05:00:00,2
3,2021-11-23 04:00:00,1
4,2021-11-23 01:00:00,2
5,2021-11-23 00:00:00,7
6,2021-11-22 23:00:00,3
7,2021-11-22 22:00:00,10
8,2021-11-22 21:00:00,22
9,2021-11-22 20:00:00,5
10,2021-11-22 19:00:00,18
11,2021-11-22 18:00:00,14
12,2021-11-22 17:00:00,36
13,2021-11-22 16:00:00,9
14,2021-11-22 15:00:00,18
15,2021-11-22 14:00:00,9
16,2021-11-22 13:00:00,6
17,2021-11-22 12:00:00,14
18,2021-11-22 11:00:00,3
19,2021-11-22 10:00:00,6
20,2021-11-22 09:00:00,10
21,2021-11-22 08:00:00,4
22,2021-11-22 07:00:00,3
23,2021-11-22 05:00:00,1
24,2021-11-22 00:00:00,1
